time (s),vertical,horizontal,axial
0.0204688,12.212,-14.8651,-2.85927
0.0205078,12.2392,-14.5853,-2.7065
0.0205469,12.2127,-14.5178,-2.5174
0.0205859,12.2505,-14.2919,-2.30472
0.020625,12.4142,-13.6966,-2.04901
0.0206641,12.6175,-12.924,-1.73525
0.0207031,12.7275,-12.3234,-1.36829
0.0207422,12.7171,-11.9982,-0.967608
0.0207813,12.689,-11.7765,-0.557192
0.0208203,12.7102,-11.4645,-0.142175
0.0208594,12.7414,-10.9838,0.296807
0.0208984,12.7553,-10.369,0.786095
0.0209375,12.7606,-9.74355,1.34586
0.0209766,12.756,-9.23422,1.97754
0.0210156,12.7371,-8.83662,2.66504
0.0210547,12.6918,-8.40508,3.40346
0.0210938,12.6128,-7.81997,4.20513
0.0211328,12.5233,-7.10281,5.06695
0.0211719,12.4523,-6.3525,5.96111
0.0212109,12.3863,-5.65108,6.86012
0.02125,12.2679,-5.03912,7.74849
0.0212891,12.0688,-4.52681,8.61997
0.0213281,11.8111,-4.083,9.47908
0.0213672,11.5247,-3.61069,10.3369
0.0214063,11.2427,-3.029,11.2028
0.0214453,10.9858,-2.40595,12.0825
0.0214844,10.7314,-1.88205,12.9816
0.0215234,10.432,-1.45834,13.9146
0.0215625,10.0592,-0.992377,14.9121
0.0216016,9.64405,-0.384716,16.003
0.0216406,9.26772,0.326747,17.1825
0.0216797,8.99243,1.02645,18.4064
0.0217188,8.79239,1.6181,19.6221
0.0217578,8.56795,2.09868,20.7927
0.0217969,8.26996,2.5788,21.8975
0.0218359,7.94528,3.18923,22.9395
0.021875,7.63948,3.92811,23.9398
0.0219141,7.35528,4.6304,24.9009
0.0219531,7.08164,5.11494,25.8057
0.0219922,6.8089,5.37939,26.6555
0.0220312,6.53115,5.64017,27.4794
0.0220703,6.23446,6.12005,28.3109
0.0221094,5.91328,6.81351,29.1645
0.0221484,5.59655,7.52076,30.032
0.0221875,5.32001,8.07429,30.8933
0.0222266,5.08509,8.48269,31.7226
0.0222656,4.86593,8.87787,32.4927
0.0223047,4.65452,9.3657,33.1804
0.0223437,4.44332,9.93537,33.7694
0.0223828,4.17458,10.4984,34.2482
0.0224219,3.80587,10.9845,34.6083
0.0224609,3.37087,11.349,34.8466
0.0225,2.91522,11.5477,34.9604
0.0225391,2.45894,11.6213,34.9368
0.0225781,2.01227,11.7229,34.7785
0.0226172,1.57014,11.9585,34.5283
0.0226562,1.12017,12.2702,34.236
0.0226953,0.673641,12.5175,33.9232
0.0227344,0.269459,12.6556,33.5888
0.0227734,-0.0727621,12.7966,33.2247
0.0228125,-0.383218,13.0571,32.8308
0.0228516,-0.704477,13.393,32.4076
0.0228906,-1.04965,13.6291,31.9316
0.0229297,-1.38706,13.631,31.3741
0.0229687,-1.6568,13.4303,30.7238
0.0230078,-1.82786,13.1801,29.9664
0.0230469,-1.91784,13.0156,29.0988
0.0230859,-1.96342,12.9673,28.1631
0.023125,-2.01389,12.9639,27.2156
0.0231641,-2.11171,12.9111,26.2812
0.0232031,-2.24047,12.7714,25.3626
0.0232422,-2.33985,12.5624,24.4677
0.0232812,-2.37352,12.3305,23.6055
0.0233203,-2.3291,12.1392,22.7691
0.0233594,-2.19086,12.0371,21.9375
0.0233984,-1.9665,12.0402,21.0862
0.0234375,-1.69366,12.1342,20.197
0.0234766,-1.40004,12.2354,19.2672
0.0235156,-1.08817,12.18,18.2938
0.0235547,-0.748366,11.8857,17.2674
0.0235938,-0.369445,11.502,16.1942
0.0236328,0.0553439,11.2461,15.0929
0.0236719,0.506238,11.133,13.9747
0.0237109,0.92343,11.0128,12.8464
0.02375,1.2679,10.8096,11.7286
0.0237891,1.57888,10.5867,10.6478
0.0238281,1.92083,10.4024,9.61034
0.0238672,2.31729,10.2397,8.61451
0.0239063,2.7568,10.0993,7.66799
0.0239453,3.21107,10.0177,6.77239
0.0239844,3.65303,9.97312,5.91672
0.0240234,4.09155,9.87817,5.07703
0.0240625,4.57159,9.68703,4.22131
0.0241016,5.11058,9.46588,3.33707
0.0241406,5.63729,9.29569,2.4384
0.0241797,6.04869,9.13918,1.54951
